product_series,family,subtype,data_source,d_mm,dw_mm,Mmax_Nm,D_mm,l_mm,e_mm,H_mm,A_mm,d1_mm,MA_Nm,Z_count,S_spec,DIN_spec,class_spec,nmax_rpm,pN_N_per_mm2,I_kgm2,weight_kg
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,530,440,1660000,910,223,15,238,616,538,1700,27,M 30 x 90,931,10.9,630,219,102.5969192,740
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,560,460,2083000,940,223,22,245,646,568,1700,28,M 30 x 90,931,10.9,610,250,115.37142,771
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,590,480,2140000,950,240,23,263,670,598,1700,28,M 30 x 100,931,10.9,597,219,126.59661,810
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,620,510,2560000,970,268,23,291,716,630,1700,28,M 30 x 100,931,10.9,562,206,149.62953,904
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,640,530,2372000,970,269,18,287,736,650,1700,28,M 30 x 100,931,10.9,562,178,145.57015,862
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,660,550,2830000,1020,270,22,292,770,670,2200,28,M 33 x 110,931,10.9,535,195,182.44888,989
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,9,20,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,12,10,40,35,10,4,14,24,13,12,3,M6x10,933,10.9,16370,274,1.20E-05,0.1
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,11,30,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,14,12,50,38,10,4,14,26,15,12,3,M6x16,933,10.9,15078,241,1.70E-05,0.1
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,13,70,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,16,14,90,41,13.5,4,17,28,17,12,3,M6x16,933,10.9,13975,232,3.00E-05,0.1
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,15,80,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,18,16,110,44,13.5,4,17,30,19,12,4,M6x16,933,10.9,13022,191,4.00E-05,0.1
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,17,150,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,20,18,180,47,13.5,4,17,32,21,12,4,M6x16,933,10.9,12191,233,5.10E-05,0.2
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,19,160,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,24,20,200,48,14,4,19,36,26,12,5,M6x16,933,10.9,11937,217,6.00E-05,0.2
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,22,280,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,24,270,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,30,25,320,60,16,4,21,44,32,12,6,M6x16,933,10.9,9549,189,0.000164,0.4
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,26,360,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,28,490,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,36,30,610,72,18,4,22,52,38,30,5,M8x20,933,10.9,7958,208,0.00036,0.5
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,33,820,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,35,690,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,44,35,770,80,20,5,26,61,47,30,6,M8x20,933,10.9,7162,185,0.000615,0.7
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,36,840,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,38,1.1,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,50,40,1.29,90,22,5,28,68,53,30,8,M8x20,933,10.9,6366,202,0.00107,0.9
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,42,1.5,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,55,42,1.23,100,23,5,28,72,58,30,8,M8x20,933,10.9,5730,187,0.001638,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,45,1.53,,,,,,,,,,,,,,,1.2
