;;;;;;TAS 3371;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
d (mm);dw  (mm);M max (Nm);D (mm);I (mm);e (mm);H (mm);A (mm);d1 (mm);MA (Nm);Z (Stk.);S;DIN;Klasse;nmax (min-1);pN  (N/mm²);I (kgm²);Gewicht (kg)
;320; 799.000   ;;;;;;;;;;;;;;;
420;320; 742.000   ;;;;;;;;;;;;;;;
;330; 797.000   ;670;167;19;186;490;428;1210;18;M27x080;933;10.9;855;201;21,51;286
;350; 912.000   ;;;;;;;;;;;;;;;
440;340; 945.000   ;;;;;;;;;;;;;;;
;350; 1.009.000   ;710;174;23;197;506;448;1210;21;M27x080;933;10.9;807;215;28,49;339
;370; 1.143.000   ;;;;;;;;;;;;;;;
460;360; 1.104.000   ;;;;;;;;;;;;;;;
;370; 1.174.000   ;745;174;24;198;534;470;1210;21;M27x090;933;10.9;769;223;34,62;375
;390; 1.320.000   ;;;;;;;;;;;;;;;
480;380; 1.300.000   ;;;;;;;;;;;;;;;
;390; 1.378.000   ;770;192;25;217;552;488;1640;20;M30x090;933;10.9;744;219;43,28;437
;410; 1.541.000   ;;;;;;;;;;;;;;;
500;400; 1.496.000   ;;;;;;;;;;;;;;;
;410; 1.581.000   ;800;192;26;218;572;508;1640;21;M30x090;933;10.9;716;219;50,34;470
;430; 1.759.000   ;;;;;;;;;;;;;;;
530;430; 1.930.000   ;;;;;;;;;;;;;;;
;440; 2.031.000   ;845;213;30;243;606;541;1640;24;M30x100;933;10.9;678;220;69,62;576
;460; 2.243.000   ;;;;;;;;;;;;;;;
560;450; 2.097.000   ;;;;;;;;;;;;;;;
;460; 2.201.000   ;900;213;30;243;632;568;1640;24;M30x100;933;10.9;637;218;90,11;660
;480; 2.420.000   ;;;;;;;;;;;;;;;
590;470; 2.593.000   ;;;;;;;;;;;;;;;
;480; 2.715.000   ;950;230;31;261;664;598;1640;28;M30x100;933;10.9;603;228;120,87;821
;500; 2.970.000   ;;;;;;;;;;;;;;;
620;500; 2.904.000   ;;;;;;;;;;;;;;;
;520; 3.169.000   ;960;254;33;287;706;630;1640;28;M30x100;933;10.9;597;204;134,96;872
;540; 3.447.000   ;;;;;;;;;;;;;;;
660;530; 3.329.000   ;;;;;;;;;;;;;;;
;550; 3.614.000   ;1020;260;35;295;748;670;2200;24;M33x110;933;10.9;562;204;175,74;1004
;570; 3.911.000   ;;;;;;;;;;;;;;;
700;560; 3.804.000   ;;;;;;;;;;;;;;;
;580; 4.109.000   ;1080;260;37;297;782;710;2200;28;M33x120;933;10.9;531;208;220,57;1141
;600; 4.427.000   ;;;;;;;;;;;;;;;
750;600; 4.801.000   ;;;;;;;;;;;;;;;
;620; 5.157.000   ;1150;278;41;319;848;760;2200;32;M33x120;933;10.9;498;213;301,41;1346
;650; 5.716.000   ;;;;;;;;;;;;;;;
800;640; 5.620.000   ;;;;;;;;;;;;;;;
;660; 6.012.000   ;1230;296;42;338;900;810;2200;32;M33x130;933;10.9;466;207;420,80;1646
;700; 6.839.000   ;;;;;;;;;;;;;;;
850;650; 5.942.000   ;;;;;;;;;;;;;;;
;700; 6.994.000   ;1300;315;44;359;950;860;2850;30;M36x130;933;10.9;441;201;555,97;1942
;730; 7.669.000   ;;;;;;;;;;;;;;;
900;700; 6.967.000   ;;;;;;;;;;;;;;;
;730; 7.640.000   ;1350;332;47;379;1000;915;2850;32;M36x140;933;10.9;424;192;668,94;2142
;760; 8.345.000   ;;;;;;;;;;;;;;;
950;750; 8.295.000   ;;;;;;;;;;;;;;;
;780; 9.041.000   ;1400;360;49;409;1050;965;2850;36;M36x140;933;10.9;409;183;823,40;2425
;820; 10.088.000   ;;;;;;;;;;;;;;;
1000;800; 9.568.000   ;;;;;;;;;;;;;;;
;830; 10.380.000   ;1420;380;60;440;1100;1020;2850;36;M36x160;933;10.9;402;175;880,02;2740
;860; 11.228.000   ;;;;;;;;;;;;;;;
1050;850; 11.241.000   ;;;;;;;;;;;;;;;
